,name,latitude,longitude,store_id
264,Rockdale Supercenter,30.642342,-97.03214,cc8a5a1a-bb10-4ae1-aee2-f4be12d0bf52
265,Franklin Supercenter,36.694977,-86.573045,a9ab80f7-9f25-4435-9029-98f802430c4d
266,Bridge City Store,30.024796,-93.844527,c00aa397-44c3-4d08-b8d8-79f164ed8c54
267,Mansfield Supercenter,32.576044,-97.130022,c26977f6-b708-445c-8ad7-12aeaffe4b55
268,Huntsville Supercenter,30.713817,-95.570575,8329b33d-3963-49ad-9a34-96f4034d1ea1
269,Jasper Supercenter,33.8429292,-87.254431,3e1389b0-f610-486b-ab6e-0ebfd92a5cfd
270,Mcgehee Store,33.604067,-91.381208,b492b57d-f8ae-4af5-9d0a-5d64ef545b0a
271,Woodville Supercenter,30.763779,-94.419491,6e3227cf-618d-404b-b6c1-230c27cc710b
272,Gonzales Supercenter,29.5164259,-97.4491852,6de879c1-f2e4-439b-93b1-50b25173ebb0
273,Ennis Supercenter,32.333377,-96.620823,d537d7e3-5f35-400e-b113-8077aeef1f48
